log_id,date_reported,equipment_id,issue_reported,priority,status,assigned_to,expected_resolution_date,actual_resolution_date,resolution_summary,downtime_hours,brakes_replaced,tires_replaced,chain_replaced,gears_replaced,electronics_replaced
116,2025-02-21,1007,Overheating,High,Closed,Charlie,2025-12-18,2025-12-19,Lubricated moving parts,0.57,No,No,No,Yes,No
117,2025-02-22,1002,Vibration abnormal,Medium,Closed,Alice,2025-12-19,2025-12-20,Lubricated moving parts,3.96,No,No,No,No,No
118,2025-02-23,1003,Leakage,Low,Closed,Charlie,2025-12-20,2025-12-21,Replaced faulty valve,0.44,No,No,No,No,No
119,2025-02-24,1002,Routine check,Low,In Progress,Charlie,2025-12-21,2025-12-22,Routine inspection,0.95,No,Yes,No,No,No
120,2025-02-25,1019,Overheating,Medium,In Progress,Alice,2025-12-22,2025-12-23,Replaced faulty valve,0.37,No,No,Yes,No,No
121,2025-02-26,1004,Pressure drop,Medium,Closed,Bob,2025-12-23,2025-12-24,Lubricated moving parts,4.67,No,No,No,No,No
122,2025-02-27,1007,Pressure drop,Medium,Closed,David,2025-12-24,2025-12-25,Adjusted pressure,0.59,No,No,No,No,No
123,2025-02-28,1007,Pressure drop,Medium,Open,David,2025-12-25,2025-12-26,Adjusted pressure,1.01,No,Yes,No,No,No
124,2025-03-01,1017,Routine check,Medium,Closed,Bob,2025-12-26,2025-12-27,Routine inspection,0.14,No,Yes,No,No,No
125,2025-03-02,1019,Routine check,Medium,In Progress,Alice,2025-12-27,2025-12-28,Routine inspection,1.32,No,No,No,Yes,No
126,2025-03-03,1016,Vibration abnormal,Medium,Open,David,2025-12-28,2025-12-29,Routine inspection,0.31,No,Yes,No,No,No
127,2025-03-04,1003,Vibration abnormal,Medium,Closed,Bob,2025-12-29,2025-12-30,Lubricated moving parts,0.6,No,No,No,No,No
128,2025-03-05,1015,Vibration abnormal,Medium,Closed,Bob,2025-12-30,2025-12-31,Lubricated moving parts,2.15,No,No,No,No,No
129,2025-03-06,1014,Pressure drop,Low,In Progress,Bob,2025-12-31,2026-01-01,Routine inspection,3.53,No,No,No,No,No
130,2025-03-07,1015,Routine check,Low,Closed,David,2026-01-01,2026-01-02,Adjusted pressure,0.55,No,No,No,No,No
131,2025-03-08,1014,Pressure drop,Medium,Closed,David,2026-01-02,2026-01-03,Adjusted pressure,1.8,No,No,No,No,No
132,2025-03-09,1007,Vibration abnormal,Low,Closed,David,2026-01-03,2026-01-04,Adjusted pressure,0.05,No,No,No,No,No
133,2025-03-10,1003,Routine check,Medium,Closed,David,2026-01-04,2026-01-05,Lubricated moving parts,1.88,No,No,No,No,Yes
134,2025-03-11,1017,Leakage,Medium,Open,Charlie,2026-01-05,2026-01-06,Replaced faulty valve,0.99,Yes,No,No,No,No
135,2025-03-12,1010,Overheating,High,Open,Bob,2026-01-06,2026-01-07,Adjusted pressure,0.67,No,No,No,No,No
136,2025-03-13,1015,Overheating,Medium,In Progress,Charlie,2026-01-07,2026-01-08,Adjusted pressure,2.21,Yes,No,No,No,No
137,2025-03-14,1006,Vibration abnormal,Low,Closed,Bob,2026-01-08,2026-01-09,Adjusted pressure,1.87,No,No,Yes,No,No
138,2025-03-15,1017,Pressure drop,Low,Closed,David,2026-01-09,2026-01-10,Routine inspection,0.35,No,Yes,No,No,No
139,2025-03-16,1017,Leakage,High,In Progress,David,2026-01-10,2026-01-11,Lubricated moving parts,1.57,Yes,No,No,No,No
140,2025-03-17,1014,Routine check,Low,In Progress,Charlie,2026-01-11,2026-01-12,Routine inspection,0.1,No,No,No,No,No
141,2025-03-18,1018,Pressure drop,Medium,In Progress,Alice,2026-01-12,2026-01-13,Routine inspection,1.73,No,No,No,No,No
142,2025-03-19,1005,Vibration abnormal,Medium,In Progress,David,2026-01-13,2026-01-14,Replaced faulty valve,1.13,No,Yes,No,No,No
143,2025-03-20,1008,Pressure drop,Medium,Closed,Alice,2026-01-14,2026-01-15,Routine inspection,0.09,No,Yes,No,No,No
144,2025-03-21,1007,Vibration abnormal,Medium,Closed,Bob,2026-01-15,2026-01-16,Replaced faulty valve,1.15,No,No,No,No,No
145,2025-03-22,1004,Overheating,Medium,Open,Charlie,2026-01-16,2026-01-17,Routine inspection,0.87,No,No,No,Yes,No
146,2025-03-23,1018,Overheating,High,Closed,Alice,2026-01-17,2026-01-18,Adjusted pressure,0.9,No,No,No,No,No
147,2025-03-24,1005,Pressure drop,Low,Closed,Alice,2026-01-18,2026-01-19,Lubricated moving parts,0.34,No,No,No,No,No
148,2025-03-25,1016,Leakage,High,Closed,David,2026-01-19,2026-01-20,Routine inspection,0.31,No,No,No,Yes,No
149,2025-03-26,1014,Routine check,Medium,Open,Alice,2026-01-20,2026-01-21,Replaced faulty valve,1.44,No,No,No,No,No
150,2025-03-27,1019,Vibration abnormal,High,In Progress,Alice,2026-01-21,2026-01-22,Lubricated moving parts,0.3,No,No,No,No,No
151,2025-03-28,1014,Routine check,Low,Open,Bob,2026-01-22,2026-01-23,Replaced faulty valve,0.59,No,No,No,No,Yes
152,2025-03-29,1009,Overheating,Low,Closed,Charlie,2026-01-23,2026-01-24,Adjusted pressure,1.19,Yes,No,No,No,No
153,2025-03-30,1006,Leakage,High,Closed,David,2026-01-24,2026-01-25,Routine inspection,0.08,No,No,No,No,No
154,2025-03-31,1017,Leakage,High,Closed,David,2026-01-25,2026-01-26,Lubricated moving parts,0.9,No,No,Yes,No,No
155,2025-04-01,1019,Routine check,Medium,In Progress,Alice,2026-01-26,2026-01-27,Adjusted pressure,0.89,No,No,No,No,No
156,2025-04-02,1012,Overheating,Medium,Open,Bob,2026-01-27,2026-01-28,Routine inspection,1.15,No,No,No,No,No
157,2025-04-03,1004,Routine check,High,Open,Alice,2026-01-28,2026-01-29,Routine inspection,0.46,No,No,No,Yes,No
158,2025-04-04,1016,Pressure drop,Low,Closed,Alice,2026-01-29,2026-01-30,Replaced faulty valve,0.6,No,Yes,No,No,No
159,2025-04-05,1011,Leakage,Medium,Open,David,2026-01-30,2026-01-31,Replaced faulty valve,0.4,No,No,No,No,No
160,2025-04-06,1004,Leakage,High,Open,Alice,2026-01-31,2026-02-01,Adjusted pressure,1.65,No,No,No,No,No
161,2025-04-07,1017,Pressure drop,Medium,Closed,Alice,2026-02-01,2026-02-02,Replaced faulty valve,0.14,No,No,No,No,No
162,2025-04-08,1008,Overheating,Medium,Closed,Bob,2026-02-02,2026-02-03,Adjusted pressure,3.3,No,No,No,No,No
163,2025-04-09,1014,Leakage,Medium,Closed,David,2026-02-03,2026-02-04,Adjusted pressure,1.01,No,No,No,No,No
164,2025-04-10,1002,Vibration abnormal,Medium,Open,Charlie,2026-02-04,2026-02-05,Adjusted pressure,2.18,No,Yes,No,No,No
165,2025-04-11,1011,Vibration abnormal,Low,Closed,Bob,2026-02-05,2026-02-06,Replaced faulty valve,0.56,No,No,No,No,No
166,2025-04-12,1011,Overheating,High,In Progress,Bob,2026-02-06,2026-02-07,Lubricated moving parts,0.4,No,No,No,No,No
167,2025-04-13,1006,Pressure drop,Medium,Closed,Bob,2026-02-07,2026-02-08,Adjusted pressure,2.31,No,No,No,No,No
168,2025-04-14,1014,Routine check,High,Open,David,2026-02-08,2026-02-09,Lubricated moving parts,0.1,No,No,No,No,No
169,2025-04-15,1010,Overheating,High,In Progress,Alice,2026-02-09,2026-02-10,Routine inspection,0.12,No,No,No,No,No
170,2025-04-16,1008,Routine check,Low,Closed,Charlie,2026-02-10,2026-02-11,Replaced faulty valve,0.36,No,No,No,No,No
171,2025-04-17,1007,Overheating,Low,Closed,David,2026-02-11,2026-02-12,Replaced faulty valve,3.21,No,Yes,No,No,No
172,2025-04-18,1008,Vibration abnormal,Medium,Closed,Alice,2026-02-12,2026-02-13,Lubricated moving parts,1.0,No,No,No,No,No
173,2025-04-19,1008,Pressure drop,Medium,Open,Bob,2026-02-13,2026-02-14,Routine inspection,0.81,No,Yes,No,No,No
174,2025-04-20,1002,Vibration abnormal,Medium,Open,David,2026-02-14,2026-02-15,Routine inspection,1.22,No,No,No,Yes,No
175,2025-04-21,1016,Pressure drop,Medium,Closed,Alice,2026-02-15,2026-02-16,Adjusted pressure,0.54,No,No,No,No,No
176,2025-04-22,1009,Routine check,Medium,Closed,Charlie,2026-02-16,2026-02-17,Replaced faulty valve,1.42,No,No,No,No,Yes
177,2025-04-23,1013,Overheating,Low,Closed,Charlie,2026-02-17,2026-02-18,Routine inspection,0.5,No,No,No,No,No
178,2025-04-24,1012,Leakage,Medium,Closed,Alice,2026-02-18,2026-02-19,Routine inspection,1.75,No,No,No,No,No
179,2025-04-25,1017,Leakage,Medium,In Progress,David,2026-02-19,2026-02-20,Adjusted pressure,0.31,No,Yes,No,No,No
180,2025-04-26,1002,Pressure drop,Medium,Closed,Bob,2026-02-20,2026-02-21,Adjusted pressure,0.33,No,No,No,No,No
181,2025-04-27,1013,Pressure drop,Low,Open,Alice,2026-02-21,2026-02-22,Lubricated moving parts,0.74,No,No,No,No,No
182,2025-04-28,1001,Vibration abnormal,Medium,In Progress,Bob,2026-02-22,2026-02-23,Replaced faulty valve,0.56,No,No,No,No,No
183,2025-04-29,1019,Leakage,Low,In Progress,Charlie,2026-02-23,2026-02-24,Routine inspection,1.04,No,No,No,No,No
184,2025-04-30,1011,Vibration abnormal,Medium,Open,Alice,2026-02-24,2026-02-25,Lubricated moving parts,0.45,No,No,No,No,No
185,2025-05-01,1005,Routine check,Medium,Closed,Charlie,2026-02-25,2026-02-26,Replaced faulty valve,0.26,No,Yes,No,No,No
186,2025-05-02,1001,Leakage,Low,Closed,Bob,2026-02-26,2026-02-27,Lubricated moving parts,0.63,No,No,Yes,No,No
187,2025-05-03,1013,Routine check,Medium,Closed,Bob,2026-02-27,2026-02-28,Replaced faulty valve,0.82,No,No,No,No,No
188,2025-05-04,1008,Overheating,Medium,In Progress,Alice,2026-02-28,2026-03-01,Replaced faulty valve,0.15,No,No,No,No,No
189,2025-05-05,1006,Vibration abnormal,Low,In Progress,Alice,2026-03-01,2026-03-02,Routine inspection,0.81,No,No,No,Yes,No
190,2025-05-06,1017,Pressure drop,Low,Open,Alice,2026-03-02,2026-03-03,Replaced faulty valve,0.38,No,No,No,No,No
191,2025-05-07,1012,Leakage,High,Closed,Charlie,2026-03-03,2026-03-04,Adjusted pressure,0.5,No,No,No,No,No
192,2025-05-08,1001,Vibration abnormal,Medium,In Progress,Bob,2026-03-04,2026-03-05,Routine inspection,0.33,No,No,No,No,No
193,2025-05-09,1003,Pressure drop,High,Closed,Bob,2026-03-05,2026-03-06,Adjusted pressure,2.68,No,No,No,No,No
194,2025-05-10,1014,Overheating,Medium,Open,Charlie,2026-03-06,2026-03-07,Lubricated moving parts,1.15,No,No,No,No,No
195,2025-05-11,1008,Leakage,Medium,In Progress,Alice,2026-03-07,2026-03-08,Lubricated moving parts,0.3,No,No,No,No,No
196,2025-05-12,1011,Routine check,Medium,Closed,David,2026-03-08,2026-03-09,Replaced faulty valve,1.04,No,No,No,No,No
197,2025-05-13,1014,Overheating,Medium,Closed,Alice,2026-03-09,2026-03-10,Replaced faulty valve,1.89,No,No,No,No,No
198,2025-05-14,1008,Pressure drop,Low,In Progress,David,2026-03-10,2026-03-11,Adjusted pressure,0.51,No,No,No,No,No
199,2025-05-15,1003,Leakage,Medium,Closed,David,2026-03-11,2026-03-12,Adjusted pressure,1.77,No,No,No,No,No
200,2025-05-16,1007,Leakage,Medium,Closed,Charlie,2026-03-12,2026-03-13,Adjusted pressure,0.17,No,No,No,No,No
201,2025-05-17,1019,Overheating,Low,Closed,Bob,2026-03-13,2026-03-14,Lubricated moving parts,1.73,No,No,No,Yes,No
202,2025-05-18,1004,Leakage,Low,Closed,Bob,2026-03-14,2026-03-15,Adjusted pressure,0.78,No,No,Yes,No,No
203,2025-05-19,1016,Pressure drop,Low,Closed,Bob,2026-03-15,2026-03-16,Routine inspection,0.25,No,No,No,No,No
204,2025-05-20,1013,Overheating,Medium,In Progress,Bob,2026-03-16,2026-03-17,Routine inspection,0.52,No,No,Yes,No,No
205,2025-05-21,1019,Routine check,Medium,Closed,Charlie,2026-03-17,2026-03-18,Lubricated moving parts,4.42,No,No,No,No,Yes
